url,label
https://delcopa.gov/council/2016minutes/101216minutes.pdf,Policies & Contracts
https://www.mass.gov/doc/coping-with-overdose-fatalities/download,Not Criminal Justice Related
http://www.longbeach.gov/police/press-releases/murder-7-/,Media Bulletins
https://www.lynchburgvapolice.gov/wp-content/uploads/2021/05/img_1545.jpg,Poor Data Source
http://police.portlandmaine.gov/526/permit-license-fees,Resources
https://www.arlingtontx.gov/news/my_arlington_t_x/news_archive/2012_and_prior_archived_news/police_graduate_18_recruits,Personnel Records
https://police.greenvillesc.gov/1996/getting-here-parking,Contact Info & Agency Meta
http://lafayettepolice.us/3386/donate,Resources
http://www.lafayettepolice.us/2111/youth-classes-and-weekend-workshops,Misc Police Activity
https://norfolkne.gov/assets/site/documentcentral/police/archived-arrests/2020-arrests/may-arrests.pdf,Arrest Records
http://www.longbeach.gov/police/press-releases/murder-18-/,Media Bulletins
https://www.edmondswa.gov/government/departments/police_department/anonymous_tip,Contact Info & Agency Meta
https://www.southamptontownnypolice.gov/1698/calissa-restaurant,Not Criminal Justice Related
https://ose.louisiana.gov/event/police-communications-officer-i-5/,Poor Data Source
https://www.mass.gov/doc/essential-functions-for-municipal-police-officers/download,Policies & Contracts
https://www.jacksonms.gov/documents/mayoral-executive-order-amending-the-city-of-jackson-police-departments-use-of-force-policy/,Media Bulletins
http://www.longbeach.gov/police/press-releases/murder-600-block-of-e-9th-street/,Media Bulletins
https://www.dps.arkansas.gov/law-enforcement/arkansas-state-police/divisions/highway-patrol/troop-c-commander/,Personnel Records
https://www.roseville.ca.us/government/departments/police_department/community_services/my_neighborhood_officer/neighborhood_officer_program_information,Misc Police Activity
https://www.pleasantprairiewi.gov/departments/police/news/police_and_fire___rescue_news_archive/2021_news_releases/arrest_leads_to_officer_injury,Media Bulletins
https://cityofmebanenc.gov/documents/police-officer-2/police-officer-updated-2-21-2022/,Resources
https://www.eutawal.gov/policeman/,Poor Data Source
http://www.longbeach.gov/police/press-releases/murder-investigation4/,Media Bulletins
https://norfolkne.gov/assets/site/documentcentral/police/2021-daily-reports/blotter/090921blotter.pdf,Dispatch Logs
https://delcopa.gov/planning/programsandinitiatives/heritagecommission/historyofhcpreservationawards.pdf,Not Criminal Justice Related
https://www.antioch.il.gov/wpfb-file/12-13-11-police-pension-fund-agenda-pdf/,Poor Data Source
https://www.bedminster.us/government/police/history,Contact Info & Agency Meta
https://www.ci.neenah.wi.us/departments/police/neighborhood-policing/,Policies & Contracts
http://www.lafayettepolice.us/1635/learning-adventures-camps-ages-5-7,Not Criminal Justice Related
https://www.sheridanwy.gov/faq_s/police_department,Contact Info & Agency Meta
https://www.sandyspringsgapolice.gov/category/uncategorized/,Poor Data Source
https://mukilteowa.gov/news/mukilteo-seeks-new-police-chief/,Personnel Records
https://www.foxcrossingwi.gov/departments/police-department/community-policing/tricom/,Poor Data Source
https://www.edmondswa.gov/government/departments/police_department/public_information/can_you_i_d_me_,Wanted Persons
https://www.lynchburgvapolice.gov/traffic-safety-information/,List of Data Sources
http://chico.ca.us/post/police-community-advisory-board-pcab,Media Bulletins
http://www.lafayettepolice.us/488/swimming-lessons,Not Criminal Justice Related
https://alpha.austin.gov/police-oversight/written-reprimand-of-officer-jason-goodman/,Complaints & Misconduct
https://www.arlingtontx.gov/news/my_arlington_t_x/news_archive/2013_archived_news/december_2013/arlington_police_remind_safe_holiday_season,Media Bulletins
https://www.antioch.il.gov/police-department/,List of Data Sources
https://decaturil.gov/decatur-police-department-to-host-coffee-with-a-cop-on-august-8-2018/,Misc Police Activity
https://www.newcastlewa.gov/departments/police/solicitors,Not Criminal Justice Related
https://www.hayward-ca.gov/discover/news/mar21/hayward-police-departments-community-academy-goes-virtual-april,Misc Police Activity
https://norfolkne.gov/assets/site/documentcentral/police/2022-daily-reports/summary/031422summary.pdf,Daily Activity Logs
https://alpha.austin.gov/police-oversight/formal-complaint-impartial-attitude-and-courtesy-and-other-policy-violations-4/,Complaints & Misconduct
https://alpha.austin.gov/es/police-oversight/2020-06-30-7/,Complaints & Misconduct
https://spdblotter.seattle.gov/2013/05/02/man-leads-police-on-chase-in-stolen-patrol-car-after-attacking-bus-riders-officers/,Media Bulletins
http://www.ryepolice.us/announcements/dmv-phone-scam,Media Bulletins
https://www.mass.gov/doc/2021-foxborough-police-sergeant-sole-assessment-center-examination-in-title-employment-verification-form/download,Training & Hiring Info
https://www.pleasantprairiewi.gov/news/2017_news/1_20_2017___shop_with_a_cop,Media Bulletins
https://www.bedminster.us/government/police/tips,Contact Info & Agency Meta
https://champaignil.gov/2019/02/20/champaign-police-investigating-tuesday-night-shooting/,Misc Police Activity
https://champaignil.gov/2012/04/05/champaign-police-officers-cook-with-%e2%80%9ckids-in-the-kitchen%e2%80%9d/,Media Bulletins
https://www.gurnee.il.us/government/departments/police-department/community-involvement/parking,Policies & Contracts
https://www.ci.auburn.in.us/wp-content/uploads/2019/08/police-rad-class-2.jpg,Poor Data Source
https://delcopa.gov/treasurer/pdf/2021reassessmentvalues/25.pdf,Not Criminal Justice Related
https://delcopa.gov/departments/liveworkplay.html,Not Criminal Justice Related
https://www.stcharlesil.gov/events/public-meetings/police-pension-board/10889,Policies & Contracts
https://coloradosprings.gov/police-department/article/news/man-posing-realtor-arrested,Media Bulletins
https://police.greenvillesc.gov/160/services,Resources
https://cheswold.delaware.gov/cheswold-police-department-policy-and-procedure-manual/snow-energency-plan/,Policies & Contracts
http://boro.dormont.pa.us/labor-agreements/police_union_contract_-_extended/,Policies & Contracts
https://coloradosprings.gov/police-department/article/news/motorcyclist-identified-austin-bluffs,Media Bulletins
https://www.osc.state.ny.us/state-agencies/payroll-bulletins/state-agencies/1923-police-benevolent-association-new-york-state-inc-pbanys-dues-increase,Misc Police Activity
https://www.arlingtontx.gov/city_hall/departments/police/recruiting/internships,Resources
https://www.coppelltx.gov/faq.aspx?qid=351,Not Criminal Justice Related
https://cityofpowell.us/police-agency/traffic-surveys/traffic-survey-report-1-3-18/,Misc Police Activity
https://www.bristolri.gov/departments/police/public-safety-services/police-detail-request/,Resources
https://takomaparkmd.gov/government/police/crime-prevention/burglary-prevention/,Media Bulletins
https://fenwickisland.delaware.gov/comprehensive-plan/town-of-fenwick-island-fi-comp-plan_cleancopy_version6/,Not Criminal Justice Related
https://delcopa.gov/employment/jobpostings/deputydirector_workforcedevelopment.html,Not Criminal Justice Related
https://alpha.austin.gov/en/police-oversight/formal-complaint-purpose-and-scope-24/,Poor Data Source
https://coloradosprings.gov/police-department/article/news/cspd-asks-communitys-help-fatal-crash,Media Bulletins
http://www.longbeach.gov/police/press-releases/traffic-fatality-22-/,Media Bulletins
https://delcopa.gov/publicrelations/releases/2021/covidtesting_darbyfeb3.html,Not Criminal Justice Related
https://raleighnc.gov/safety/police-administrative-services-division,Resources
https://coloradosprings.gov/police-department/article/news/cspd-conduct-abandoned-or-out-compliance,Media Bulletins
https://es.carpinteriaca.gov/wp-content/uploads/2022/11/palms-copy-scaled.jpg,Poor Data Source
https://coloradosprings.gov/police-department/article/news/i-25-traffic-safety-deployment-after-stop,Media Bulletins
https://dccouncil.gov/judiciary-public-safety/copy-of-ag0-fy-2019-proposed-schedule-a-two-position-changes-1/,Annual & Monthly Reports
https://barnegatpolice.us/warrant-arrest-2/,Arrest Records
https://www.mass.gov/doc/606-cmr-1500-clean-copy/download,Not Criminal Justice Related
https://training.detroitmi.gov/bn/departments/paulaisa-baibhaaga/detroit-police-department-shield-program/paraogaraama-ebam-saebaa,Poor Data Source
