url,label
mass.gov/doc/coping-with-overdose-fatalities/download,irrelevant
longbeach.gov/police/press-releases/murder-7-/,relevant
lynchburgvapolice.gov/wp-content/uploads/2021/05/img_1545.jpg,relevant
southamptontownnypolice.gov/220/geographic-information-systems-gis,relevant
arlingtontx.gov/news/my_arlington_t_x/news_archive/2012_and_prior_archived_news/police_graduate_18_recruits,relevant
police.greenvillesc.gov/1996/getting-here-parking,relevant
lafayettepolice.us/3386/donate,relevant
lafayettepolice.us/2111/youth-classes-and-weekend-workshops,relevant
longbeach.gov/police/press-releases/murder-18-/,relevant
edmondswa.gov/government/departments/police_department/anonymous_tip,relevant
southamptontownnypolice.gov/1386/seqra-findings,relevant
southamptontownnypolice.gov/1698/calissa-restaurant,relevant
ose.louisiana.gov/event/police-communications-officer-i-5/,relevant
mass.gov/doc/essential-functions-for-municipal-police-officers/download,relevant
lafayettepolice.us/1619/school-preschool-programs,relevant
jacksonms.gov/documents/mayoral-executive-order-amending-the-city-of-jackson-police-departments-use-of-force-policy/,relevant
longbeach.gov/police/press-releases/murder-600-block-of-e-9th-street/,relevant
beaumonttexas.gov/beaumont-police-investigating-fatal-auto-pedestrian-crash-5600-block-west-cardinal-drive-east-bound/,relevant
roseville.ca.us/government/departments/police_department/community_services/my_neighborhood_officer/neighborhood_officer_program_information,relevant
norfolkne.gov/assets/site/documentcentral/police/2022-daily-reports/summary/022522summary.pdf,relevant
southamptontownnypolice.gov/faq.aspx?qid=120,irrelevant
police.crystalmn.gov/r_e_s_i_d_e_n_t/garbage_haulers,relevant
pleasantprairiewi.gov/departments/police/news/police_and_fire___rescue_news_archive/2021_news_releases/arrest_leads_to_officer_injury,relevant
cityofmebanenc.gov/documents/police-officer-2/police-officer-updated-2-21-2022/,relevant
estespark.colorado.gov/departments/police/police-department-events,relevant
eutawal.gov/policeman/,relevant
longbeach.gov/police/press-releases/murder-investigation4/,relevant
lafayettepolice.us/1019/commissions-organizations,irrelevant
norfolkne.gov/assets/site/documentcentral/police/2021-daily-reports/blotter/090921blotter.pdf,relevant
antioch.il.gov/wpfb-file/12-13-11-police-pension-fund-agenda-pdf/,relevant
bedminster.us/government/police/history,relevant
ci.neenah.wi.us/departments/police/neighborhood-policing/,relevant
alpha.austin.gov/police-oversight/notice-of-complaint-related-to-2022-0442/,relevant
pittsburghpa.gov/bac/police-review-board,relevant
lafayettepolice.us/1635/learning-adventures-camps-ages-5-7,irrelevant
mukilteowa.gov/news/mukilteo-police-department-public-safety-community-survey/,relevant
sandyspringsgapolice.gov/category/uncategorized/,relevant
lafayettepolice.us/771/tactical-rescue-team,relevant
mukilteowa.gov/news/mukilteo-seeks-new-police-chief/,relevant
foxcrossingwi.gov/departments/police-department/community-policing/tricom/,relevant
edmondswa.gov/government/departments/police_department/public_information/can_you_i_d_me_,relevant
roundrocktexas.gov/wp-content/uploads/2021/08/general_fund_revenues_chart-copy.jpg,irrelevant
chico.ca.us/post/police-community-advisory-board-pcab,relevant
lafayettepolice.us/488/swimming-lessons,relevant
alpha.austin.gov/police-oversight/written-reprimand-of-officer-jason-goodman/,relevant
arlingtontx.gov/news/my_arlington_t_x/news_archive/2013_archived_news/december_2013/arlington_police_remind_safe_holiday_season,relevant
antioch.il.gov/police-department/,relevant
hutchinsonmn.gov/departmentsfacilities/police-services/annual-report/,relevant
alpha.austin.gov/police-oversight/notice-of-complaint-related-to-2022-0850/,relevant
decaturil.gov/decatur-police-department-to-host-coffee-with-a-cop-on-august-8-2018/,relevant
newcastlewa.gov/departments/police/solicitors,relevant
hayward-ca.gov/discover/news/mar21/hayward-police-departments-community-academy-goes-virtual-april,relevant
norfolkne.gov/assets/site/documentcentral/police/2022-daily-reports/summary/031422summary.pdf,relevant
alpha.austin.gov/police-oversight/formal-complaint-impartial-attitude-and-courtesy-and-other-policy-violations-4/,relevant
lafayettepolice.us/faq.aspx?qid=113,relevant
alpha.austin.gov/es/police-oversight/2020-06-30-7/,relevant
spdblotter.seattle.gov/2013/05/02/man-leads-police-on-chase-in-stolen-patrol-car-after-attacking-bus-riders-officers/,relevant
ryepolice.us/announcements/dmv-phone-scam,relevant
hendersonvillenc.gov/police-department/faq,relevant
pleasantprairiewi.gov/news/2017_news/1_20_2017___shop_with_a_cop,relevant
bedminster.us/government/police/tips,relevant
champaignil.gov/2019/02/20/champaign-police-investigating-tuesday-night-shooting/,relevant
champaignil.gov/2012/04/05/champaign-police-officers-cook-with-%e2%80%9ckids-in-the-kitchen%e2%80%9d/,relevant
providenceri.gov/police/honor-guard/honor_guard_1_lg/,relevant
gurnee.il.us/government/departments/police-department/community-involvement/parking,relevant
ci.auburn.in.us/wp-content/uploads/2019/08/police-rad-class-2.jpg,relevant
stcharlesil.gov/events/public-meetings/police-pension-board/10889,relevant
alpha.austin.gov/police-oversight/formal-complaint-purpose-and-scope-impartial-attitude-and-courtesy-secure-and-identify-witnesses-and-other-policy-violations/,relevant
coloradosprings.gov/police-department/article/news/man-posing-realtor-arrested,relevant
antioch.il.gov/wpfb-file/08-12-14-police-pension-agenda-pdf-2/,relevant
cheswold.delaware.gov/cheswold-police-department-policy-and-procedure-manual/snow-energency-plan/,relevant
boro.dormont.pa.us/labor-agreements/police_union_contract_-_extended/,relevant
huntsvilleal.gov/suspect-arrested-on-multiple-charges-after-assaulting-police-during-a-traffic-stop/,relevant
coloradosprings.gov/police-department/article/news/motorcyclist-identified-austin-bluffs,relevant
arlingtontx.gov/city_hall/departments/police/recruiting/internships,relevant
coppelltx.gov/faq.aspx?qid=351,relevant
alpha.austin.gov/en/police-oversight/temporary-suspension-of-corporal-brian-yarger/,relevant
cityofpowell.us/police-agency/traffic-surveys/traffic-survey-report-1-3-18/,relevant
mass.gov/doc/alves-john-v-boston-police-department-72309/download,relevant
takomaparkmd.gov/government/police/crime-prevention/burglary-prevention/,relevant
coloradosprings.gov/police-department/article/news/cspd-asks-communitys-help-fatal-crash,relevant
cityofpataskalaohio.gov/cop_folder/2015-legislation-under-public-notices/advertisement-of-legislation-passed-april-21-2014-2/,relevant
coloradosprings.gov/police-department/page/police-department-physical-readiness-test,relevant
mooresville.in.gov/event/police-commission-meeting-16/,relevant
spdblotter.seattle.gov/2012/08/03/seattle-neighborhood-group-and-seattle-police-department-team-up-to-tackle-graffiti-in-little-saigon/,relevant
alpha.austin.gov/en/police-oversight/formal-complaint-purpose-and-scope-and-other-policy-violations-9/,relevant
alpha.austin.gov/en/police-oversight/formal-complaint-impartial-attitude-and-courtesy-and-other-policy-violations-1/,relevant
hendersonvillenc.gov/police-department/information-crime-safety-tips/winter-safety-tips,relevant
